pot;concentration_tp;shootweight;litterweightloss;rootweight;CO2;pH
1;0;13.2;70.7;6.62;0.359362252;5.98
2;0;8.3;74.4;3.46;0.440197618;5.95
3;0;10.2;70.4;13.13;0.295602298;6.05
4;10;3.1;73.7;0.97;0.426252856;5.95
5;10;9.6;76.2;2.62;0.358343867;6.33
6;10;7.5;73.8;5.88;0.353883258;6.84
7;20;10.2;72.6;2.17;0.472887439;6.15
8;20;2.4;75.3;0.46;0.445522287;6.25
9;20;5.5;74.3;0.74;0.471926842;6.14
10;30;3.3;77.9;0;0.4258972;6.1
11;30;6.6;73.1;5.53;0.394144773;6.19
12;30;1.9;76.7;0.42;0.529090554;6.32
13;40;8.8;73.4;3.23;0.382526719;6.25
14;40;6.3;73.3;20.4;0.633561675;6.26
15;40;2.5;72.3;0.16;0.578086246;6.24
16;50;5.6;74.1;;0.569468234;6.3
17;50;3.8;73.1;0.98;0.535781385;6.25
18;50;9.2;77.5;1.31;0.811842032;6.35
19;60;6.1;73.5;2.74;0.756109756;6.34
20;60;3.4;75.1;1.97;0.49552933;6.52
21;60;4.8;72.2;1.95;0.853417995;6.58
22;70;5.9;72.9;0.79;0.640315486;6.59
23;70;7.1;70.8;5.94;0.804367219;6.43
24;70;4.4;73.8;2.34;0.494164723;6.44
25;80;5.6;73.4;;0.461110035;6.5
26;80;4.8;73.8;1.31;0.71967898;6.51
27;80;3.4;71.1;0.33;1.067920752;6.5
28;90;3.7;70.5;0.76;1.073218780;6.91
29;90;1.8;73.0;0.28;0.771736779;6.47
30;90;5.8;75.1;0.58;0.780529691;6.52
31;100;2.9;69.3;1.41;0.780353274;6.49
32;100;4.9;72.3;;0.701309366;6.52
33;100;5.5;67.6;2.2;0.417323403;6.5
34;110;3;72.1;0.26;0.662930878;6.54
35;110;3.5;73.4;1.33;0.967375569;6.32
36;110;8.1;71.5;4.2;0.850217413;6.53
37;120;2.6;72.7;0.95;0.958046731;6.49
38;120;2;70.7;0.78;0.828098621;6.41
39;120;7.6;66.9;1.9;1.148088577;6.5
40;130;3.8;70.2;2.14;0.828419154;6.53
41;130;5.1;65.0;1.36;1.043534060;6.61
42;130;4;71.3;;0.985538056;6.76
43;140;7.4;69.6;2.99;0.702204486;
44;140;7.7;74.7;3.17;0.897459651;6.64
45;140;4.8;61.3;1.91;1.297909397;6.58
46;150;5.5;70.5;1.88;1.039238187;6.63
47;150;4;70.1;0.92;1.068230268;6.62
48;150;3.9;72.5;3.27;0.753919818;6.66
49;160;4.1;68.8;0.95;0.875483579;6.61
50;160;2.3;73.6;0.87;0.906369873;6.58
51;160;6.5;71.0;2.17;0.953099824;6.61
