pot,concentration_tp,shootweight,litterweightloss,rootweight,CO2,pH,zinc
1,0,13.2,70.73732719,6.62,0.359362252,5.98,14.12
2,0,8.3,74.40261866,3.46,0.440197618,5.95,13.13
3,0,10.2,70.44846051,13.13,0.295602298,6.05,16.81
4,10,3.1,73.71167645,0.97,0.426252856,5.95,32.21
5,10,9.6,76.15203498,2.62,0.358343867,6.33,24.64
6,10,7.5,73.7969677,5.88,0.353883258,6.84,27.06
7,20,10.2,72.56841411,2.17,0.472887439,6.15,45.79
8,20,2.4,75.26595745,0.46,0.445522287,6.25,38.07
9,20,5.5,74.28381079,0.74,0.471926842,6.14,35.48
10,30,3.3,77.88746298,0,0.4258972,6.1,54.05
11,30,6.6,73.11792139,5.53,0.394144773,6.19,58.19
12,30,1.9,76.7287234,0.42,0.529090554,6.32,58.83
13,40,8.8,73.37533156,3.23,0.382526719,6.25,68.97
14,40,6.3,73.32022288,20.4,0.633561675,6.26,79.42
15,40,2.5,72.26640159,0.16,0.578086246,6.24,82.69
16,50,5.6,74.08394404,0,0.569468234,6.3,71.50
17,50,3.8,73.078203,0.98,0.535781385,6.25,86.04
18,50,9.2,77.51963351,1.31,0.811842032,6.35,77.06
19,60,6.1,73.45369442,2.74,0.756109756,6.34,91.08
20,60,3.4,75.141998,1.97,0.49552933,6.52,132.50
21,60,4.8,72.24991692,1.95,0.853417995,6.58,147.88
22,70,5.9,72.8847435,0.79,0.640315486,6.59,101.21
23,70,7.1,70.78464107,5.94,0.804367219,6.43,106.52
24,70,4.4,73.84513127,2.34,0.494164723,6.44,102.21
25,80,5.6,73.39572193,0,0.461110035,6.5,117.34
26,80,4.8,73.82439987,1.31,0.71967898,6.51,108.57
27,80,3.4,71.14427861,0.33,1.067920752,6.5,149.56
28,90,3.7,70.53777631,0.76,1.07321878,6.91,150.70
29,90,1.8,73.01324503,0.28,0.771736779,6.47,119.52
30,90,5.8,75.12537613,0.58,0.780529691,6.52,124.77
31,100,2.9,69.28714191,1.41,0.780353274,6.49,143.45
32,100,4.9,72.34255248,0,0.701309366,6.52,136.29
33,100,5.5,67.57656458,2.2,0.417323403,6.5,143.01
34,110,3,72.08387942,0.26,0.662930878,6.54,133.66
35,110,3.5,73.38870432,1.33,0.967375569,6.32,184.48
36,110,8.1,71.5143429,4.2,0.850217413,6.53,156.97
37,120,2.6,72.74522712,0.95,0.958046731,6.49,189.69
38,120,2,70.66142764,0.78,0.828098621,6.41,168.34
39,120,7.6,66.85449122,1.9,1.148088577,6.5,156.74
40,130,3.8,70.15915119,2.14,0.828419154,6.53,172.09
41,130,5.1,64.9715624,1.36,1.04353406,6.61,183.39
42,130,4,71.29598939,0,0.985538056,6.76,244.40
43,140,7.4,69.6,2.99,0.702204486,6.6,265.48
44,140,7.7,74.74175275,3.17,0.897459651,6.64,229.52
45,140,4.8,61.34122288,1.91,1.297909397,6.58,183.98
46,150,5.5,70.50983006,1.88,1.039238187,6.63,194.18
47,150,4,70.13981358,0.92,1.068230268,6.62,212.06
48,150,3.9,72.46087246,3.27,0.753919818,6.66,203.20
49,160,4.1,68.84176183,0.95,0.875483579,6.61,183.18
50,160,2.3,73.55481728,0.87,0.906369873,6.58,226.96
51,160,6.5,70.98155468,2.17,0.953099824,6.61,210.21
